NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;Si;;;303.4995;196;5724.6825;3697;6.2229;32;1;30
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;No;197.559;1.05718;95.5400;7268;1699.1745;129261;5.8498;441;93;61
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;--;;;0.0000;121;0.0000;1290;5.3712;31;8;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;--;;;0.0000;116;0.0000;1312;4.6512;34;5;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;Si;;;308.1449;199;6107.1539;3944;5.8090;31;0;32
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;No;186.421;0.99737;90.2293;6864;1621.3543;123341;5.6693;437;86;63
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;No;181.22;0.965872;89.8612;6836;1603.6213;121992;5.6457;422;82;57
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;--;;;0.0000;114;0.0000;1337;4.6388;32;2;0
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;Si;;;250.8516;162;6179.9318;3991;4.8342;38;0;30
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;Si;;;154.8467;100;6080.8299;3927;2.7762;42;1;24
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;No;177.847;0.943205;88.4152;6726;1570.8369;119498;5.6812;412;86;49
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;--;;;0.0000;109;0.0000;1304;4.3580;29;5;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;--;;;0.0000;108;0.0000;1255;4.0420;24;3;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;Si;;;148.6528;96;5627.1291;3634;2.9593;42;1;26
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;No;176.852;0.943847;88.8490;6759;1550.1857;117927;5.7702;412;81;51
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;No;178.928;0.952658;90.0978;6854;1559.6766;118649;5.7992;425;84;45
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;--;;;0.0000;99;0.0000;1236;3.6125;26;5;0
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;Si;;;157.9436;102;5622.4837;3631;3.2862;42;1;21
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;No;186.715;0.990721;89.7692;6829;1570.9815;119509;5.7517;425;80;47
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;--;;;0.0000;97;0.0000;1235;3.6125;28;5;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;Si;;;178.0737;115;5690.6162;3675;3.4315;39;1;25
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;--;;;0.0000;98;0.0000;1168;3.9965;32;5;0
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;Si;;;207.4945;134;5817.5905;3757;4.1206;34;1;23
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;No;206.878;1.15;91.3335;6948;1550.6458;117962;5.9660;449;78;45
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;No;228.822;1.23674;96.6836;7355;1591.2385;121050;6.1292;461;79;48
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;--;;;0.0000;108;0.0000;1163;4.8119;32;6;0
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;Si;;;210.5915;136;5693.7132;3677;4.4533;31;1;17
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;No;237.391;1.29122;97.7615;7437;1510.2503;114889;6.5507;471;77;55
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;--;;;0.0000;112;0.0000;1055;5.5877;34;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;Si;;;281.8209;182;5690.6162;3675;5.7397;30;2;15
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;--;;;0.0000;115;0.0000;1001;5.9184;32;4;0
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;Si;;;270.9817;175;5402.6014;3489;6.4704;28;1;16
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;No;238.899;1.30511;100.1408;7618;1453.4757;110570;7.0034;490;64;60
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;--;;;0.0000;117;0.0000;936;7.3144;40;4;0
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;Si;;;300.4026;194;5947.6618;3841;6.0903;29;1;19
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;No;237.057;1.31258;98.5240;7495;1393.3228;105994;7.1274;502;65;60
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.482;1.28667;97.7221;7434;1364.2323;103781;7.1937;500;64;61
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;--;;;0.0000;122;0.0000;931;7.9208;40;4;0
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;Si;;;362.3412;234;6000.3096;3875;7.0924;25;1;19
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;130;0.0000;922;8.7875;36;5;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;421.1830;272;5970.8888;3856;8.0378;28;1;15
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;224.958;1.25381;98.6949;7508;1329.3184;101125;7.4684;498;65;59
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;114;0.0000;821;8.7173;32;5;0
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;374.7290;242;5106.8442;3298;8.2182;29;1;16
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;193.749;1.07946;88.5598;6737;1142.2607;86895;7.6781;465;65;58
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.634;1.00695;88.3364;6720;1138.4092;86602;7.9545;470;67;57
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;109;0.0000;759;9.1521;33;6;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;371.6320;240;5439.7646;3513;7.4348;32;1;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;312.7903;202;5747.9095;3712;5.8341;27;0;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;167.083;0.949467;86.0885;6549;1108.1487;84300;7.9450;466;70;56
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;112;0.0000;833;8.2411;33;6;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;118;0.0000;850;8.6435;39;7;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;322.0811;208;6198.5134;4003;5.2407;23;0;19
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;162.001;0.93739;82.9074;6307;1088.7725;82826;7.7634;463;69;54
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.203;0.930525;82.0792;6244;1083.1595;82399;7.7719;467;73;53
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;125;0.0000;893;7.8857;33;7;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;277.1755;179;5698.3586;3680;5.3145;27;0;12
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;Si;;;213.6884;138;5647.2592;3647;4.0887;33;0;18
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;No;166.236;0.959995;81.4088;6193;1079.4788;82119;7.8251;466;70;49
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;130;0.0000;890;7.9038;34;5;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;--;;;0.0000;128;0.0000;867;7.5294;37;4;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;Si;;;136.2650;88;5507.8971;3557;3.2658;34;1;18
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;No;170.991;0.989484;80.7252;6141;1088.0232;82769;7.7151;473;78;54
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;No;186.883;1.02544;90.9260;6917;1250.7095;95145;7.6489;488;76;58
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;--;;;0.0000;139;0.0000;1023;6.8794;39;5;0
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;Si;;;148.6528;96;6994.4255;4517;2.7906;35;1;18
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;No;185.832;1.02093;90.0584;6851;1242.6251;94530;7.4484;463;73;52
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;--;;;0.0000;142;0.0000;1106;6.2673;37;3;0
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;Si;;;167.2344;108;7440.3840;4805;3.1894;35;1;24
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;--;;;0.0000;135;0.0000;1123;5.6159;33;3;0
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;Si;;;229.1731;148;7155.4660;4621;3.7388;36;1;25
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;No;187.201;1.01316;89.8875;6838;1271.1241;96698;7.2136;465;77;47
